Name,Dialog
Phineas,"I'll be honest, Ferb. I'm having a hard time putting a positive spin on this. But, I guess that's life, huh? One minute you're having the best day ever, the next you're being fed to a monster the size of a two-car garage."
Doofenshmirtz,"Yeah? Well, welcome to my life! (the Goozim roars, he gasps and hides behind a robot)"
Phineas,Huh. And everything started out so well this morning. (Ferb looks at the screen)
Phineas,EARLIER THAT DAY
Phineas,"Good morning, Perry! Now that's the way to wake up. (He hugs Perry) This is gonna be the best day ever."
Lawrence,"Good morning, boys."
Linda,"Happy anniversary, Perry."
Phineas,"Oh, that's right! Gosh, I can't believe it's been five years. I remember the day we first got you."
Lawrence,"Come on, kids. Pick out any pet you want."
Linda,"Oh look, Phineas! This one's looking at you! (picks up Phineas and shows him a cat)"
Lawrence,"And this one's looking at you, Ferb! (picks up Ferb and shows him a dog)"
Young Candace,(walks through the aquarium section and all the fish swim away as she approaches) Why won't anything look at me?!
Young Phineas,Ferb! This one's looking at both of us at the same time!
Linda,Awww...
Young Candace,"That thing?! You're kidding, right?"
Store employee,Is there something I can do for you?
Lawrence,"Ah, yes, we'd like that one, please."
Store employee,(surprised) You'd like to adopt a platypus?
Lawrence,"Oh, is that what it is? Well, yes! May we have him please?"
Store employee,Okay.
Young Candace,What would you even name a platypus?
Phineas,"(Narrating) 'Course, Ferb and I knew exactly what to call you."
Young Phineas and Ferb,(simultaneously) Bartholomew!
Phineas,"And then when we got you home, we renamed you Perry. And gave you this locket!"
Phineas,Look how young we all were.
Candace,"(in her room, talking with her cell phone) Hey, Jeremy. You wanna go to the mall?"
Jeremy,"(At his house) You know, I'd love to, but my dad's taking me to check out his old college today."
Jack Johnson,(runs in) Boo-ya! Goooo Polecats! Boo-ya! (he runs away)
Jeremy,He's already set up an interview with an academic adviser. Can you believe that?
